title,year,rating,genre,synopsis,sinopse_limpa,Cluster,sinopse_melhorada,sinopse_melhorada_limpa
Forrest Gump: O Contador de Histórias,1994,8.8,"Drama, Romance","Os governos dos presidentes Kennedy e Johnson, os eventos do Vietnã e Watergate e outras histórias são mostradas através da perspectiva de um homem do Alabama com baixo quociente intelectual.",govern presid kennedy johnson event vietn watergat outr hist sao mostr atrav perspec hom alabam baix quoci intelect,Cluster 1,"Forrest Gump narra, sentado num banco de praça, a extraordinária vida de um homem do Alabama com baixo QI cuja bondade e simplicidade o colocam no centro de momentos decisivos da história americana: dos presidentes Kennedy e Johnson ao Vietnã, do escândalo Watergate às conquistas pessoais como o sucesso no negócio de camarões, a amizade com Bubba e o tenente Dan, as partidas de pingue-pongue e a busca pelo amor de Jenny. Entre humor e ternura, o filme explora destino, inocência e o impacto humano em tempos turbulentos.",forrest gump narr sent banc prac extraordin vid hom alabam baix qi cuj bondad simplic coloc centr moment decis hist americ presid kennedy johnson vietn escandal watergat conqu pessoal sucess negoci camaro amizad bubb tenent dan part pinguepong busc am jenny hum tern film expl destin inocenc impact human temp turbulent
O Senhor dos Anéis: As Duas Torres,2002,8.8,"Aventura, Drama, Fantasia","Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum, a divida comunhão luta contra Saruman e os Isengards.",enquant frod sam esta pert mord ajud gollum div comunha lut contr saruman isengard,Cluster 1,"Enquanto Frodo e Sam, carregando o peso do Anel, avançam rumo a Mordor guiados e desconfiados por Gollum, a antiga Irmandade fragmentada enfrenta novas provações: Aragorn, Legolas e Gimli perseguem os orcs que capturaram Merry e Pippin; estes, por sua vez, encontram os Ents e desencadeiam a fúria da natureza contra Isengard de Saruman. Em Rohan, Gandalf, agora ressurgido como Gandalf, o Branco, e os hobbits ajudam a unir Théoden e seu povo para resistir à traição de Gríma e à investida de Saruman, culminando na épica defesa do abismo de Helm e na escalada rumo à guerra que decidirá a Terra-média.",enquant frod sam carreg pes anel avanc rum mord gui desconfi gollum antig irmandad fragment enfrent nov provaco aragorn legol giml perseg orc captur merry pippin vez encontr ent desencade fur natur contr isengard saruman rohan gandalf agor ressurg gandalf branc hobbit ajud unir theoden pov resist traica grim invest saruman culmin epic defês abism helm escal rum guerr decid terramed
Clube da Luta,1999,8.8,"Drama, Suspense",Um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.,trabalh escritori fabric sabonet form club lut clandestin evolu alg mai,Cluster 2,"Um narrador anônimo, preso a um emprego monótono e a insônia, conhece o carismático Tyler Durden após perder tudo, e juntos criam um clube de luta clandestino onde homens buscam alívio da alienação moderna; Tyler, fabricante de sabonetes e crítico feroz do consumismo, transforma o grupo em uma célula anarquista chamada ""Projeto Mayhem"", cujas ações espalham violência e caos. Quando o narrador se vê envolvido com Marla Singer e enfrenta a própria fragmentação psicológica, descobre a terrível verdade sobre Tyler e tenta impedir a destruição que ele mesmo ajudou a plantar.",narr anon pres empreg monoton inson conhec carisma tyl durden apo perd tud junt cri club lut clandestin ond hom busc alivi alienaca modern tyl fabric sabonet crit feroz consum transform grup celul anarqu cham projet mayh cuj aco espalh violenc cao narr ve envolv marl sing enfrent propr fragmentaca psicolog descobr terri verdad sobr tyl tent imped destruica ajud plant
A Origem,2010,8.8,"Ação, Aventura, Ficção científica, Suspense",Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.,ladra roub segred corpor atrav tecnolog entr subconsci receb taref invers plant ide ment dire grand empr,Cluster 0,"Dom Cobb, ladrão especializado em extrair segredos do subconsciente via tecnologia de invasão de sonhos, recebe a missão inversa: executar uma ""inception"" — plantar uma ideia na mente de Robert Fischer para dissolver o império empresarial do pai. Reuniu uma equipe: o lógico Arthur, a jovem arquiteta Ariadne, o farsante Eames e o químico Yusuf, além do magnata Saito, que promete apagar os crimes de Cobb e permitir que ele volte para seus filhos. À medida que constroem sonhos em camadas, enfrentam defesas mentais imprevisíveis e os demônios pessoais de Cobb — especialmente a memória de sua esposa Mal — numa trama que mistura ação, suspense psicológico e questões sobre culpa, realidade e identidade.",dom cobb ladra especi extra segred subconsci via tecnolog invasa sonh receb missa invers execut inception plant ide ment robert fisch dissolv imperi empresar pai reun equip logic arthur jov arquitet ariadn fars eam quim yusuf alem magnat sait promet apag crim cobb permit volt filh med constro sonh cam enfrent defês ment imprevisi demoni pessoal cobb espec memor esp mal tram mist aca suspens psicolog questo sobr culp real ident
Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7,,"Depois que a Aliança Rebelde é dominada pelo Império, Luke Skywalker começa seu treinamento Jedi com Yoda, enquanto seus amigos são perseguidos por toda a galáxia por Darth Vader e pelo caçador de recompensas Boba Fett.",alianc rebeld domin imperi luk skywalk comec trein jed yod enquant amig sao persegu tod galax darth vad cac recompens bob fett,Cluster 1,"Após a derrota em Hoth, a Aliança Rebelde é dispersa pelo Império: enquanto Leia, Han e Chewbacca fogem sob constante perseguição de Darth Vader e do frio caçador de recompensas Boba Fett, buscando refúgio que culmina na traição de Lando Calrissian em Cloud City, Luke Skywalker parte para Dagobah e inicia seu intenso treinamento Jedi com o enigmático mestre Yoda; dividido entre esperança e desespero, o filme aprofunda conflitos pessoais e políticas galácticas, terminando em choque emocional e um cliffhanger que redefine o destino dos protagonistas.",apo derrot hoth alianc rebeld dispers imperi enquant lei han chewbacc fog sob const perseguica darth vad fri cac recompens bob fett busc refugi culmin traica land calrissian cloud city luk skywalk part dagobah inic intens trein jed enigma mestr yod divid esperanc desesper film aprofund conflit pessoal poli galac termin choqu emoc cliffhang redefin destin protagon
Matrix,1999,8.7,"Ação, Ficção científica",Um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.,hack aprend misteri rebeld sobr verd natur real papel guerr contr control,Cluster 0,"Thomas Anderson, um programador e hacker conhecido como Neo, é contatado pelos enigmáticos rebeldes liderados por Morpheus e Trinity, que lhe revelam que o mundo percebido é na verdade uma simulação virtual chamada Matrix, criada por máquinas que escravizam a humanidade para gerar energia; ao escolher a ""pílula vermelha"" Neo inicia um rito de passagem entre dúvida e descoberta, treinamento intenso e confrontos com agentes como Smith, e passa a encarar seu destino como possível salvador numa guerra que mistura filosofia, ação e efeitos visuais revolucionários.",thom anderson program hack conhec neo contat enigma rebeld lider morph trinity revel mund perceb verdad simulaca virtual cham matrix cri maquin escraviz human ger energ escolh pilul vermelh neo inic rit pass duvid descobert trein intens confront agent smith pass encar destin possi salv guerr mist filosof aca efeit visual revolucionari
Os Bons Companheiros,1990,8.7,"Biografia, Drama","A historia do Henry Hill e sua vida na máfia, sua relação com sua esposa Karen Hill e seus colegas da máfia Jimmy Conway e Tommy DeVito no sindicato italo-americano do crime.",hist henry hill vid maf relaca esp karen hill coleg maf jimmy conway tommy devit sindicat italoameric crim,Cluster 4,"A história real de Henry Hill (Ray Liotta), desde sua entrada na máfia italo-americana nos anos 1950 até a decadência nos anos 80, narrada pelo próprio protagonista; sua ambígua relação com a esposa Karen (Lorraine Bracco) e com os colegas Jimmy Conway (Robert De Niro) e Tommy DeVito (Joe Pesci) revela a mistura de glamour, violência e lealdade do crime organizado. Dirigido por Martin Scorsese e baseado no livro Wiseguy de Nicholas Pileggi, o filme mostra a ascensão, os grandes roubos, a dependência de drogas e, enfim, a traição que leva Hill a cooperar com a justiça.",hist real henry hill ray liott desd entr maf italoameric ano 1950 ate decadenc ano 80 narr propri protagon ambigu relaca esp karen lorrain bracc coleg jimmy conway robert nir tommy devit joe pesc revel mist glamour violenc lealdad crim organiz dirig martin scorses base livr wiseguy nichol pilegg film mostr ascensa grand roub dependenc drog enfim traica lev hill cooper jus
Interestelar,2014,8.7,"Aventura, Drama, Ficção científica","Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.",equip explor viaj atrav burac minhoc espac tent garant sobrevivenc human,Cluster 0,"Em um futuro de colheitas arruinadas e tempestades de poeira, o ex-piloto Cooper é recrutado por uma equipe secreta da NASA para liderar uma missão através de um buraco de minhoca próximo a Saturno, onde planetas potencialmente habitáveis — avaliados por sondas Lazarus — podem garantir a sobrevivência da humanidade; acompanhados pela científica Amelia Brand, um trio de robôs (TARS, CASE) e um pequeno grupo de astronautas, enfrentam efeitos extremos de relatividade ao redor do gigante Gargantua, escolhas éticas, sacrifícios pessoais e um enigma científico que conecta o destino da Terra ao vínculo entre pais e filhos, enquanto Murph, a filha de Cooper, luta em casa para decifrar a equação que salvará a Humanidade.",futur colheit arruin tempestad poe expilot coop recrut equip secret nas lider missa atrav burac minhoc prox saturn ond planet potenc habita avali sond lazaru pod garant sobrevivenc human acompanh cientif amel brand tri rob tar cas pequen grup astron enfrent efeit extr relat redor gigant gargantu escolh etic sacrifici pessoal enigm cientif conect destin terr vincul pal filh enquant murph filh coop lut cas decifr equaca salv human
Um Estranho no Ninho,1975,8.7,Drama,"Um criminoso alega insanidade para ser enviado a um centro de saúde mental, onde se rebela contra a opressiva enfermeira e mobiliza os pacientes a quem ela atemoriza.",crimin aleg insan envi centr saud ment ond rebel contr opress enferm mobiliz paci atemoriz,Cluster 1,"No fim da década de 1950, Randle P. McMurphy (Jack Nicholson), um preso que simula insanidade para cumprir pena em um hospital psiquiátrico em vez da prisão, choca-se com a rígida e manipuladora enfermeira Ratched (Louise Fletcher) e transforma a rotina opressiva ao incentivar os pacientes a recuperarem autonomia e dignidade — entre eles o silencioso Chief Bromden. Filmado por Milos Forman a partir do romance de Ken Kesey, mistura humor e tragédia ao confrontar individualidade versus instituição, culminando em consequências dolorosas (a lobotomia de McMurphy e o gesto final de seu amigo) e consagrou-se com cinco Oscars, incluindo Melhor Filme e Direção.",fim dec 1950 randl p mcmurphy jack nicholson pres simul insan cumpr pen hospit psiquiatr vez prisa chocas rig manipul enferm ratched louis fletch transform rotin opress incentiv paci recuper autonom dign silenci chief bromden film mil forman part romanc ken kesey mist hum traged confront individual versu instituica culmin consequenc dolor lobotom mcmurphy gest final amig consagrous cinc osc inclu melhor film direca
Seven - Os Sete Crimes Capitais,1995,8.6,"Drama, Mistério","Dois detetives, um novato e um veterano, perseguem um assassino em série que usa os sete pecados capitais como motivos.",doi detetiv novat veter perseg assassin seri usa set pec capit motiv,Cluster 1,"Na sombria e chuvosa cidade sem nome, o veterano Detective William Somerset, prestes a se aposentar, e o impetuoso recém-chegado Detective David Mills unem forças para caçar um meticuloso assassino em série que encena seus crimes segundo os sete pecados capitais. À medida que cada cena macabra expõe moralidades distorcidas, os contrastes entre o cinismo experiente de Somerset e a raiva impulsiva de Mills aumentam, transformando a investigação numa intensa batalha psicológica que culmina no chocante confronto final com o enigmático John Doe, cuja metodologia e mensagem perturbadora desafiam todas as convicções da dupla.",sombr chuv cidad nom veter detectiv will somerset prest aposent impet recemcheg detectiv david mill un forc cac meticul assassin seri encen crim segund set pec capit med cad cen macabr expo moral distorc contr cinism experi somerset raiv impuls mill aument transform investigaca intens batalh psicolog culmin choc confront final enigma john doe cuj metodolog mens perturb desaf tod convicco dupl
A Felicidade Não se Compra,1946,8.6,"Drama, Família, Fantasia, Romance","Um anjo é enviado dos céus para ajudar um homem de negócios desesperado em sua frustração, e mostra a ele como seria a vida se nunca tivesse existido.",anj envi ceu ajud hom negoci desesper frustraca mostr vid nunc exist,Cluster 1,"Em ""A Felicidade Não se Compra"", dirigido por Frank Capra, um anjo chamado Clarence é enviado para impedir o trágico desfecho de George Bailey, um homem de negócios de Bedford Falls consumido pela frustração após sacrificar sonhos pessoais para tocar a poupança e empréstimo da família; à beira do desespero e enfrentando a ameaça do avarento Mr. Potter, George recebe a chance de ver, em uma realidade alternativa, como seria o mundo se nunca tivesse existido — revelando o impacto profundo de suas escolhas, o valor da comunidade, do amor de sua esposa Mary e de pequenas bondades que definem a verdadeira riqueza da vida.",felic nao compr dirig frank capr anj cham clarenc envi imped trag desfech georg bailey hom negoci bedford fall consum frustraca apo sacrific sonh pessoal toc poupanc emprest famil beir desesper enfrent ameac avarent mr pott georg receb chanc ver real altern mund nunc exist revel impact profund escolh val comunidad am esp mary pequen bondad defin verd riqu vid
O Silêncio dos Inocentes,1991,8.6,"Drama, Suspense","Uma jovem deve receber a ajuda de um assassino canibal manipulador e preso para ajudar a capturar outro assassino em série, um louco que ataca suas vítimas.",jov dev receb ajud assassin canib manipul pres ajud captur outr assassin seri louc atac vit,Cluster 2,"Clarice Starling, jovem cadete do FBI, é enviada para entrevistar o brilhante e manipulador Dr. Hannibal Lecter, um psiquiatra canibal encarcerado, na esperança de obter insights que a ajudem a capturar um serial killer conhecido como ""Buffalo Bill"" (Jame Gumb), que rapta e desossa mulheres para confeccionar um traje de pele; entre interrogatórios carregados de tensão psicológica e jogos de poder, Clarice enfrenta seus próprios traumas enquanto vai desvendando pistas numa caçada solitária que mistura investigação forense, perfil criminal e um inquietante jogo mental com Lecter.",clar starling jov cadet fbi envi entrevist brilh manipul dr hannib lect psiquiatr canib encarcer esperanc obt insight ajud captur ser kill conhec buffal bill jam gumb rapt desoss mulh confecc traj pel interrogatori carreg tensa psicolog jog pod clar enfrent propri traum enquant vai desvend pist cac solit mist investigaca forens perfil crim inquiet jog ment lect
Os Sete Samurais,1954,8.6,"Ação, Drama",Uma aldeia pobre sob a ameaça de bandidos recruta sete samurais para ajudá-los a se defenderem.,alde pobr sob ameac band recrut set samur ajudal defend,Cluster 1,"Dirigido por Akira Kurosawa em 1954, Os Sete Samurais narra como uma aldeia pobre, desesperada diante de saques iminentes, recruta sete samurais — entre eles o líder experiente Kambei, o impulsivo Kikuchiyo e o letal Kyuzo — para planejar a defesa. Ao conjugar estratégias, treino dos camponeses, conflitos pessoais e diferenças de classe, o filme transforma batalhas e intrigas em reflexão sobre honra, sacrifício e humanidade. Com sequências épicas e final agridoce, é um marco do cinema por seu lirismo e realismo.",dirig akir kurosaw 1954 set samur narr alde pobr desesper di saqu imin recrut set samur lid experi kamb impuls kikuchiy letal kyuz planej defês conjug estrateg trein campones conflit pessoal diferenc cl film transform batalh intrig reflexa sobr honr sacrifici human sequenc epic final agridoc marc cinem lir real
O Resgate do Soldado Ryan,1998,8.6,"Drama, Guerra","Depois de chegar a Normandía, um grupo de soldados precisa encontrar o único irmão vivo de três que morreram na guerra.",cheg normand grup sold precis encontr unic irma viv tre morr guerr,Cluster 3,"Após o sangrento desembarque em Omaha Beach, o capitão John H. Miller (Tom Hanks) recebe a missão inesperada de localizar e trazer de volta para casa o paraquedista James Francis Ryan (Matt Damon), único sobrevivente de quatro irmãos após a morte dos outros três na Segunda Guerra. Liderando uma pequena esquadra por território inimigo, Miller e seus homens enfrentam combates brutais, decisões morais e sacrifícios pessoais enquanto questionam o preço da missão, em uma narrativa dirigida por Steven Spielberg que mistura realismo bélico, drama humano e o custo da coragem.",apo sangrent desembarqu omah beach capita john h mill tom hank receb missa inesper local traz volt cas paraqued jam francil ryan matt damon unic sobreviv quatr irma apo mort outr tre segund guerr lider pequen esquadr territori inimig mill hom enfrent combat brut deciso moral sacrifici pessoal enquant question prec missa narr dirig steven spielberg mist real belic dram human cust corag
À Espera de um Milagre,1999,8.6,"Drama, Fantasia, Mistério","As vidas dos guardas de corredor da morte são afetadas por um dos detidos: um homem afro-americano acusado pelo assassinato e estupro de uma criança, mas com um presente misterioso.",vid guard corr mort sao afet det hom afroameric acus assassinat estupr crianc pres misteri,Cluster 1,"Na década de 1930, no corredor da morte apelidado de ""A Milha Verde"" na Penitenciária Cold Mountain, o chefe dos guardas Paul Edgecomb (Tom Hanks) vê sua rotina e convicções abaladas quando chega John Coffey (Michael Clarke Duncan), um gigante afro-americano condenado pelo brutal assassinato e estupro de duas meninas, mas dotado de um dom inexplicável de cura e empatia. Dirigido por Frank Darabont e baseado no romance de Stephen King, o filme explora justiça, pena de morte e milagres através de performances comoventes e dilemas morais que transformam todos ao redor.",dec 1930 corr mort apelid milh verd penitenci cold mountain chef guard paul edgecomb tom hank ve rotin convicco abal cheg john coffey michael clark duncan gigant afroameric conden brut assassinat estupr dua menin dot dom inexplica cur empat dirig frank darabont base romanc stephen king film expl jus pen mort milagr atrav performanc comov dilem moral transform tod redor
