title,year,rating,genre,synopsis,sinopse_limpa,Cluster
A Viagem de Chihiro,2001,8.6,"Animação, Aventura, Família, Fantasia","Uma garota é obrigada a mudar de cidade com seus pais contra a sua vontade. Durante a viagem, eles decidem pegar um atalho e se perdem, chegando a um estranho edifício, onde adentrarão um misterioso mundo de monstros e espíritos.",garot obrig mud cidad pal contr vontad dur viag decid peg atalh perd cheg estranh edifici ond adentrara misteri mund monstr espirit,Cluster 5
O Pianista,2002,8.5,"Biografia, Drama, Guerra",Um musico judeu luta para sobreviver a destruição de Varsóvia durante a segunda guerra mundial.,music jud lut sobreviv destruica varsov dur segund guerr mund,Cluster 3
Gladiador,2000,8.5,"Ação, Aventura, Drama",Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.,gener roman planej melhor vinganc contr imper corrupt mat famil fez escrav,Cluster 0
Parasita,2019,8.5,"Drama, Suspense","Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.",desempreg famil kitaek song kangh nutr inter peculi famil park ate ve pres inesper incid,Cluster 2
Psicose,1960,8.5,"Drama, Mistério, Suspense","Uma secretária de Phoenix desvia dinheiro de um cliente de sua empresa, foge e vai a um motel remoto gerido por um jovem sob o domínio da mãe.",secret phoenix desv dinh client empr fog vai motel remot ger jov sob domini mae,Cluster 2
O Rei Leão,1994,8.5,"Animação, Aventura, Drama, Família, Musical",Um pequeno lion é obrigado por seu tío a fugir de casa e anos depois se da conta da sua identidade e suas responsabilidades.,pequen lion obrig tio fug cas ano cont ident respons,Cluster 5
Túmulo dos Vagalumes,1988,8.5,"Animação, Drama, Guerra",Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.,menin irm tent sobreviv japa dur segund guerr mund,Cluster 3
Os Infiltrados,2006,8.5,"Drama, Suspense",Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.,polic disfarc espia esta tent identific enquant infiltr gangu irland sul boston,Cluster 2
Whiplash: Em Busca da Perfeição,2014,8.5,Drama,Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.,jov promis bater matricul conservatori music ond sonh sao gui instru nao nad perceb potenc alun,Cluster 1
Harakiri,1962,8.6,"Drama, Mistério","Um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.",velh samur ronin cheg cas senh feud ped lug honr comet suicidi ronin ped samur jov cheg ant event segu curs inesper,Cluster 1
O Grande Truque,2006,8.5,"Drama, Ficção científica, Mistério, Suspense","Depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro.",trag acid doi mag palc engaj batalh cri ilusa final enquant sacrific tud engan outr,Cluster 2
A Outra História Americana,1998,8.5,Drama,Um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.,neonaz tent evit irma nov tom caminh err,Cluster 1
O Profissional,1994,8.5,"Ação, Drama, Suspense","Mathilda, uma menina de 12 anos é levada por Léon, um assassino profissional, depois que sua família é assassinada. Léon e Mathilda formam uma relação incomum, desde que ela se torna sua protegida.",mathild menin 12 ano lev leon assassin profiss famil assassin leon mathild form relaca incomum desd torn proteg,Cluster 2
Homem-Aranha: Através do Aranhaverso,2023,8.5,"Ação, Animação, Aventura, Família, Fantasia","Viajando pelo multiverso, Miles Morales conhece um novo time de Pessoas-Aranha, formado por heróis de diversas dimensões. Mas quando os heróis entram em conflito sobre como lidar com uma nova ameaça, Miles se vê em um impasse.",viaj multivers mil moral conhec nov tim pessoasaranh form heroil divers dimenso heroil entr conflit sobr lid nov ameac mil ve imp,Cluster 5
Casablanca,1942,8.5,"Drama, Guerra, Romance",O proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no Marrocos.,proprietari cetic boat proteg antig am marid nazist marroc,Cluster 3
Cinema Paradiso,1988,8.5,"Drama, Romance","Um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista.",dire cinem lembr infanc apaixon cinem cidad inici profund amizad proje,Cluster 1
Intocáveis,2011,8.5,"Comédia, Drama","Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.",fic tetrapleg acid aristocrat contrat jov bairr pobr cuid,Cluster 1
Os Suspeitos,1995,8.5,"Drama, Mistério","O único sobrevivente conta os torcidos eventos duma luta com pistolas num bote, quanfo cinco criminais eram levados pela polícia.",unic sobreviv cont torc event dum lut pistol bot quanf cinc crim lev polic,Cluster 1
Alien - O 8º Passageiro,1979,8.5,Ficção científica,"Depois de investigar uma transmissão misteriosa de origem desconhecida, a tripulação de uma nave espacial comercial encontra uma forma de vida mortal.",investig transmissa misteri orig desconhec tripulaca nav espac comerc encontr form vid mort,Cluster 0
Tempos Modernos,1936,8.5,"Comédia, Drama, Romance",Um vagabundo luta para viver na sociedade industrial moderna com a ajuda de uma jovem.,vagabund lut viv sociedad industr modern ajud jov,Cluster 1
Janela Indiscreta,1954,8.5,"Drama, Mistério, Suspense",Um fotógrafo em uma cadeira de rodas espiona seus vizinhos pela janela de seu apartamento e está convencido de que um deles cometeu um assassinato.,fotograf cade rod espiã vi janel apart convenc comet assassinat,Cluster 2
Django Livre,2012,8.5,,"Com a ajuda de um caçador de recompensas alemão, um escravo libertado sai para resgatar sua esposa de um brutal dono de uma plantação no Mississipi.",ajud cac recompens alema escrav libert sai resgat esp brut don plantaca mississip,Cluster 1
Era uma Vez no Oeste,1968,8.5,Drama,Um misterioso estranho se junta com um bandido para proteger a uma viúva.,misteri estranh junt band proteg viuv,Cluster 1
Luzes da Cidade,1931,8.5,"Comédia, Drama, Romance","Com a ajuda de um homem rico, bêbado e imprevisível, um vagabundo ingênuo que se apaixonou por uma florista cega tenta conseguir dinheiro para fornecer ajuda médica.",ajud hom ric beb imprevisi vagabund ingenu apaixon flor ceg tent consegu dinh fornec ajud medic,Cluster 1
Apocalypse Now,1979,8.4,"Drama, Guerra, Mistério",Um oficial do exército dos Estados Unidos no Vietnã é encarregado de assassinar a um coronel que acredita ser um deus.,ofic exercit est unid vietn encarreg assassin coronel acredit deu,Cluster 3
WALL·E,2008,8.4,"Animação, Aventura","Num futuro distante, um pequeno robô faz uma viagem que decidirá o destino da humanidade.",futur dist pequen rob faz viag decid destin human,Cluster 5
Amnésia,2000,8.4,"Drama, Mistério, Suspense",Um homem com perda da memória de curto prazo tenta investigar o homicídio da sua esposa.,hom perd memor curt praz tent investig homicidi esp,Cluster 2
Duna: Parte 2,2024,8.5,"Ação, Aventura, Drama, Ficção científica","Diante da difícil escolha entre o amor de sua vida e o destino do universo conhecido, Paul Atreides, agora ao lado de Chani e dos Fremen, dará tudo de si para evitar o futuro terrível que só ele pode prever.",di dificil escolh am vid destin univers conhec paul atreid agor lad chan fremen dar tud si evit futur terri so pod prev,Cluster 0
Os Caçadores da Arca Perdida,1981,8.4,"Ação, Aventura","Em 1936 o archeologista e aventurero Indiana Jones é contratado pelo governo dos Estados Unidos para procurar pelo Pacto da Arca, antes que os nazis o tenham primeiro.",1936 archeolog aventurer indi jon contrat govern est unid procur pact arc ant nazil prim,Cluster 0
Vingadores: Guerra Infinita,2018,8.4,"Ação, Aventura, Ficção científica",Os Vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso Thanos antes que sua explosão de devastação ponha fim ao universo.,ving ali devera sacrific tud tent derrot poder than ant explosa devastaca ponh fim univers,Cluster 0
A Vida dos Outros,2006,8.4,"Drama, Mistério, Suspense","Em 1984, em Berlim Oriental, um agente da polícia secreta que cuida de um escritor e sua mulher se vê cada vez mais absorvido em suas vidas.",1984 berlim orient agent polic secret cuid escri mulh ve cad vez absorv vid,Cluster 2
Crepúsculo dos Deuses,1950,8.4,Drama,Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.,roteir estabelec relaca fracas estrel cinem qu volt film,Cluster 1
Homem-Aranha: No Aranhaverso,2018,8.4,Ação,O adolescente Miles Morales se torna o Homem-Aranha de seu universo e deve se juntar a cinco indivíduos com poderes de aranha de outras dimensões para impedir uma ameaça para todas as realidades.,adolesc mil moral torn homemaranh univers dev junt cinc individu pod aranh outr dimenso imped ameac tod real,Cluster 0
Testemunha de Acusação,1957,8.4,"Drama, Mistério, Suspense",Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.,veter advog britan dev defend client julg assassinat surpr apo surpr,Cluster 2
Glória Feita de Sangue,1957,8.4,"Drama, Guerra","Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.",recus atac posica inimig gener acus sold covard comand dev defendel,Cluster 3
O Iluminado,1980,8.4,Drama,"Uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.",famil dirig hotel isol invern ond presenc sinistr influenc violenc pai enquant filh psiqu ve pressagi horri pass futur,Cluster 1
O Grande Ditador,1940,8.4,"Comédia, Drama, Guerra",O ditador Adenoid Hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição por seu regime.,dit adenoid hynkel tent expand imperi enquant pobr barb jud tent evit perseguica regim,Cluster 3
Bastardos Inglórios,2009,8.4,"Aventura, Drama, Guerra","Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos EUA coincide com os planos de vingança da dona de uma sala de cinema.",franc ocup nazist dur segund guerr mund plan assassin lid nazist part grup sold jud eua coincid plan vinganc don sal cinem,Cluster 3
Repetente,2023,8.7,"Biografia, Drama",A história da vida real do oficial do IPS Manoj Kumar Sharma e do oficial do IRS Shraddha Joshi.,hist vid real ofic ip manoj kum sharm ofic ir shraddh josh,Cluster 4
Aliens: O Resgate,1986,8.4,"Ação, Aventura, Ficção científica",Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.,ellen ripley salv dorm 57 ano lun nostr visit colon cont perd,Cluster 0
Batman: O Cavaleiro das Trevas Ressurge,2012,8.4,"Ação, Drama, Suspense","Passaram-se oito anos desde a morte de Harvey Dent e o Batman, ao assumir a culpa pela morte do promotor, desapareceu. Agora, ele terá de lidar com a chegada da Mulher Gato e de Bane em Gotham City.",passarams oit ano desd mort harvey dent batman assum culp mort promot desaparec agor ter lid cheg mulh gat ban goth city,Cluster 2
Viva: A Vida é uma Festa,2017,8.4,"Animação, Aventura, Drama, Família, Fantasia, Mistério","O aspirante a músico Miguel, confrontado com a proibição ancestral da música pela sua família, entra na Terra dos Mortos para encontrar o seu tataravô, um cantor lendário.",aspir music miguel confront proibica ancestr music famil entr terr mort encontr tatarav can lendari,Cluster 5
Amadeus,1984,8.4,"Biografia, Drama","A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.",vid sucess tribulaco wolfgang amad mozart acord antoni salier composi contemporane sempr cium aleg tel mat,Cluster 4
Vingadores: Ultimato,2019,8.4,"Ação, Aventura, Ficção científica","Após os eventos devastadores de Vingadores: Guerra Infinita, o universo está em ruínas. E com a ajuda de aliados, os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.",apo event devast ving guerr infinit univers ruin ajud ali ving reun desfaz aco than restaur ord,Cluster 0
Gênio Indomável,1997,8.3,"Drama, Romance","Will Hunting, um zelador de uma universidade, tem habilidades para a matemática, mas precisa da ajuda de um psicólogo para encontrar seu propósito.",will hunting zel univers habil matema precis ajud psicolog encontr proposit,Cluster 1
Toy Story,1995,8.3,"Animação, Aventura, Comédia, Família, Fantasia","Um boneco cowboy fica ciumento quando um novo boneco astronauta se torna o brinquedo principal no quarto de um menino. Quando as circunstâncias os separam de seu dono, os dois precisam esquecer suas diferenças para voltar para ele.",bonec cowboy fic ciument nov bonec astron torn brinqued princip quart menin circunstanc sep don doi precis esquec diferenc volt,Cluster 5
Céu e Inferno,1963,8.4,"Drama, Mistério, Suspense",Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.,execu empr calc tornas vit extorsa filh motor sequestr ret resgat,Cluster 2
Oldboy,2003,8.3,"Ação, Drama, Mistério, Suspense","Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.",ter sid rapt pres quinz ano oh daesu libert descobr 5 dia encontr sequestr,Cluster 2
Dr. Fantástico,1964,8.3,"Comédia, Guerra",Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.,gener alien provoc potenc holocaust nucle sal guerr chei poli gener tent frenetic par,Cluster 3
O Barco: Inferno no Mar,1981,8.4,"Drama, Guerra","O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror.",mund claustrofob submarin segund guerr mund chei tedi suj terr,Cluster 3
Coração Valente,1995,8.3,"Biografia, Drama, Guerra","Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra.",noiv en segred assassin will wallac comenc revolt contr rey eduard i inglaterr,Cluster 3
Your Name,2016,8.4,"Animação, Drama, Fantasia, Romance","Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?",doi estranh esta lig man biz conexa form distanc ser unic cois mant separ,Cluster 1
Princesa Mononoke,1997,8.3,,Um príncipe sofre com uma maldição mortal e parte em busca da cura. Ele acaba indo parar no meio da batalha entre uma cidade mineradora e os animais da floresta.,princip sofr maldica mort part busc cur acab ind par mei batalh cidad miner animal florest,Cluster 1
Beleza Americana,1999,8.3,Drama,Um pai sexualmente frustrado tem uma crise existencial depois de conhecer a melhor amiga da sua filha.,pai sex frustr cris exist conhec melhor amig filh,Cluster 1
3 Idiotas,2009,8.4,"Comédia, Drama","Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas.",doi amig procur companh perd lembr dia faculdad amig inspir pens man difer rest mund cham idiot,Cluster 1
Coringa,2019,8.3,"Drama, Suspense",Um comediante falido enlouquece e se torna um assassino psicopata.,comedi fal enlouquec torn assassin psicopat,Cluster 2
Cafarnaum,2018,8.4,Drama,"Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência.",cumpr sentenc cinc ano crim violent crianc 12 ano process pal negligenc,Cluster 1
Era uma Vez na América,1984,8.3,Drama,"Dois amigos leais crescem juntos cometendo pequenos crimes nas ruas do Lower East Side, em Manhattan, mas essa parceria com o tempo se desfaz em morte e mistério.",doi amig leal cresc junt comet pequen crim rua low east sid manhattan parc temp desfaz mort misteri,Cluster 1
Cantando na Chuva,1952,8.3,"Comédia, Musical, Romance",Uma produtora de cinema mudo e seu elenco enfrentam uma transição difícil para o cinema falado.,produt cinem mud elenc enfrent transica dificil cinem fal,Cluster 1
Vá e Veja,1985,8.3,"Drama, Guerra, Suspense","Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial.",encontr arm jov une forc resistenc russ contr alema segund guerr mund,Cluster 3
Réquiem para um Sonho,2000,8.3,Drama,As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.,utop caus uso drog quatr pesso coney island romp vici domin,Cluster 1
Star Wars: Episódio VI - O Retorno de Jedi,1983,8.3,,"Depois de resgatar Han Solo de Jabba, o Hutt, a Aliança Rebelde tenta destruir a segunda Estrela da Morte, enquanto Luke luta para ajudar Darth Vader a voltar do lado negro.",resgat han sol jabb hutt alianc rebeld tent destru segund estrel mort enquant luk lut ajud darth vad volt lad negr,Cluster 1
Toy Story 3,2010,8.3,"Animação, Aventura, Comédia, Família, Fantasia","Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy.",brinqued sao dad err crech woody junt outr brinqued tent volt cas andy,Cluster 5
A Caça,2012,8.3,Drama,"Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.",profes viv vid solit enquant lut custod filh vid melhor lent encontr am receb boa notic filh sort prest mud pequen ment inoc,Cluster 1
Viver,1952,8.3,Drama,"Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.",descobr canc term burocrat tent encontr sent vid,Cluster 1
Brilho Eterno de uma Mente sem Lembranças,2004,8.3,"Drama, Ficção científica, Romance","Quando sua relaçao se volta complicada, um casal tenta um procedimento médico para que suas memorias sejam apagadas.",relaca volt complic casal tent proced medic memor apag,Cluster 1
Incêndios,2010,8.3,"Drama, Guerra, Mistério",Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.,geme viaj orient medi descobr hist famili cumpr ult desej mae,Cluster 3
Se Meu Apartamento Falasse,1960,8.3,Comédia,"Um homem tenta subir na empresa permitindo que seus executivos usem seu apartamento para encontros, mas surgem complicações e um romance próprio.",hom tent sub empr permit execu us apart encontr surg complicaco romanc propri,Cluster 1
Lawrence da Arábia,1962,8.3,"Aventura, Biografia, Drama, Guerra","A história de T. E. Lawrence, o oficial inglês que conseguiu unir e liderar várias tribos árabes, durante a Primeira Guerra Mundial para lutar contra os turcos.",hist t lawrenc ofic ingl consegu unir lider var trib arab dur prim guerr mund lut contr turc,Cluster 3
2001: Uma Odisséia no Espaço,1968,8.3,"Aventura, Ficção científica","Trás descobrir um misterioso artefato na superfície da Lua, a humanidade tenta encontrar seus origens com a ajuda da inteligença do ordernador HAL 9000.",tra descobr misteri artefat superfici lua human tent encontr orig ajud inteligenc ordern hal 9000,Cluster 0
Cães de Aluguel,1992,8.3,Suspense,"Quando um simples roubo de jóias dá errado, os criminosos sobreviventes começam a suspeitar que um deles é um informante da polícia.",simpl roub joi err crimin sobreviv comec suspe inform polic,Cluster 2
Scarface,1983,8.3,Drama,"Em 1980, um imigrante cubano se torna o maior traficante de cocaína de Miami.",1980 imigr cuban torn mai trafic cocain miam,Cluster 1
Fogo Contra Fogo,1995,8.3,"Ação, Drama",Um grupo de ladrões de banco suspeitam que a polícia estejam atrás deles quando deixam uma pista no seu último roubo.,grup ladro banc suspeit polic atr deix pist ult roub,Cluster 1
Pacto de Sangue,1944,8.3,"Drama, Mistério, Suspense","Um agente de seguros se deixa convencer de um esquema de assassinato e fraude, o que desperta a suspeita de um investigador.",agent segur deix convenc esquem assassinat fraud despert suspeit investig,Cluster 2
Intriga Internacional,1959,8.3,"Aventura, Drama, Mistério, Suspense",Um executivo de publicidade de Nova Iorque tem que fugir quando é confundido por um agente de governo.,execu public nov iorqu fug confund agent govern,Cluster 2
